"UAI";"Etablissement";"Référence.GALAXIE";"N..dans.le.SI.local";"Article";"Corps";"Chaire";"Section";"Section2";"Section3";"Date.de.prise.de.fonction";"Date.ouverture.cand";"Date.clôture.cand";"Profil";"Localisation";"Etat.de.vacance";"Rentrée";"Code.section"
"0511296G";"UNIVERSITE DE REIMS";"4329 * ";"70";"26-I-2";"MCF";"Non";70;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Sciences de l¿éducation - Didactique de la géographie";"CHAUMONT";"";"2018";"70"
"0542493S";"UNIVERSITE DE LORRAINE";"1073 * ";"70MCF0203";"29";"MCF";"Non";70;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Pédagogie du supérieur ";"NANCY-MAXEVILLE";"";"2018";"70"
"0596870X";"COMUE LILLE NORD DE FRANCE";"43 * ";"0318";"26-I-1";"MCF";"Non";70;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Dans le cadre des masters MEEF (master 1 et master 2),pour la mention « Pratiques et Ingénierie de la Formation » et dans le cadre de la formation continue des personnels de l'Education nationale.";"ESPE DE VILLENEUVE D'ASCQ";"";"2018";"70"
"0597065J";"UNIVERSITE DE LILLE";"73 * ";"";"26-I-1";"MCF";"Non";70;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Formation des adultes et environnements numériques.";"VILLENEUVE D'ASCQ";"S";"2018";"70"
"0597065J";"UNIVERSITE DE LILLE";"75 * ";"";"26-I-1";"MCF";"Non";70;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Institutions éducatives et processus de professionnalisation.";"VILLENEUVE D'ASCQ";"";"2018";"70"
"0632035V";"UNIVERSITE CLERMONT AUVERGNE";"76 * ";"0048";"26-I-1";"MCF";"Non";70;16;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Sciences de l'éducation, école inclusive, adaptation scolaire et scolarisation des élèves handicapés (ASH), formation des adultes - Dynamiques des asymétries dans les collectifs inter-métiers";"Chamalieres";"";"2018";"70"
"0691774D";"UNIVERSITE LYON 1 (CLAUDE BERNARD)";"4482";"0168";"26-I-1";"MCF";"Non";70;16;NA;"01/09/2018";"12/02/2018";"14/03/2018";"Education à la santé en milieu scolaire";"ESPE";"S";"2018";"70"
"0691775E";"UNIVERSITE LYON 2 (LUMIERE)";"4341 * ";"";"26-I-1";"MCF";"Non";70;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Circulation des savoirs";"Lyon";"";"2018";"70"
"0691775E";"UNIVERSITE LYON 2 (LUMIERE)";"4342 * ";"";"26-I-1";"MCF";"Non";70;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Pédagogie active et méthodologie universitaire";"Lyon";"";"2018";"70"
"0691775E";"UNIVERSITE LYON 2 (LUMIERE)";"4343 * ";"";"26-I-1";"MCF";"Non";70;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Didactiques et apprentissages à l¿école primaire";"Lyon";"S";"2018";"70"
"0761904G";"UNIVERSITE DE ROUEN";"4410 * ";"";"26-I-1";"MCF";"Non";70;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Sciences de l'éducation ; éducation inclusive ; scolarisation ; situations de handicap ; élèves à besoin éducatif particulier ; grande difficulté scolaire";"Mont-Saint-Aignan";"";"2018";"70"
"0921204J";"UNIVERSITE PARIS 10 (NANTERRE)";"4481 * ";"1682";"26-I-1";"MCF";"Non";70;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Sciences de l'éducation avec une bonne connaissance du secteur socio-éducatif ainsi que des publics de l'éducation spécialisée.";"VILLE D'AVRAY";"";"2018";"70"
"0922605G";"INS FREJHEA";"4063 * ";"";"26-I-1";"MCF";"Non";70;7;16;"01/09/2018";"22/02/2018";"29/03/2018";"Troubles spécifiques du langage et des apprentissages, contextes didactiques et pédagogiques inclusifs";"suresnes";"";"2018";"70"
"0931827F";"UNIVERSITE PARIS 8";"4439 * ";"";"26-I-1";"MCF";"Non";70;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Clinique des apprentissages informels pour enfants et jeunes";"2 RUE DE LA LIBERTE - SAINT DENIS";"";"2018";"70"
"0931827F";"UNIVERSITE PARIS 8";"4440 * ";"";"26-I-1";"MCF";"Non";70;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Subjectivités en situations d'éducation formelles et informelles";"2 RUE DE LA LIBERTE - SAINT DENIS";"";"2018";"70"
"0942353X";"ESPE ACADEMIE CRETEIL";"4550 * ";"0248";"26-I-1";"MCF";"Non";70;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Didactique de la chimie";"ESPE de l'academie de Creteil";"";"2018";"70"
"0942353X";"ESPE ACADEMIE CRETEIL";"4551 * ";"0212";"26-I-1";"MCF";"Non";70;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Handicap et inclusion scolaire : approches cliniques, institutionnelles et pédagogiques";"ESPE de lAcademie de Creteil";"S";"2018";"70"
"0951793H";"UNIVERSITE DE CERGY-PONTOISE";"4353 * ";"";"26-I-1";"MCF";"Non";70;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"L¿université de Cergy-Pontoise recrute une ou un MCF en sciences de l¿éducation spécialisée dans l¿analyse des politiques éducatives en direction des jeunes ayant des besoins éducatifs particuliers.";"95000";"";"2018";"70"
"0951793H";"UNIVERSITE DE CERGY-PONTOISE";"4355 * ";"";"26-I-1";"MCF";"Non";70;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"L¿enseignant-chercheur recruté interviendra principalement dans le parcours FFAP, et dans les autres parcours de la Mention IV. ";"ANTONY";"";"2018";"70"
"9710585J";"UNIVERSITE DES ANTILLES";"4307 * ";"";"26-I-1";"MCF";"Non";70;7;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Sciences de l'éducation / Sciences du langage ";"Morne Ferret - Les Abymes";"";"2018";"70"
"0060931E";"UNIVERSITE DE NICE (SOPHIA ANTIPOLIS)";"4546";"71 MCF ID 459";"26-I-1";"MCF";"Non";71;NA;NA;"01/09/2018";"01/02/2018";"08/03/2018";"Journalisme international";"IUT";"";"2018";"71"
"0134009M";"UNIVERSITE AIX-MARSEILLE";"640 * ";"70910";"26-I-1";"MCF";"Non";71;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Journalisme, Pratiques d'écritures";"MARSEILLE ET AIX EN PROVENCE";"";"2018";"71"
"0134009M";"UNIVERSITE AIX-MARSEILLE";"664 * ";"54685";"26-I-1";"MCF";"Non";71;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Expression et Communication d'entreprise";"Marseille";"";"2018";"71"
"0251018W";"UNIV. BESANCON (IUT BESANCON-VESOUL)";"4455 * ";"0823";"26-I-1";"MCF";"Non";71;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Sciences de l_information et de la communication";"BESANCON";"";"2018";"71"
"0311086M";"UNIV. TOULOUSE 3 (IUT)";"4509 * ";"";"26-I-1";"MCF";"Non";71;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"enseignement en communication commerciale PPN2013 ; recherche en communication des organisations et santé";"CASTRES";"";"2018";"71"
"0312877J";"ESPE ACADEMIE TOULOUSE";"4437";"";"26-I-1";"MCF";"Non";71;NA;NA;"01/09/2018";"15/02/2018";"19/03/2018";"Sciences de l¿information et de la communication et formation des enseignants ";"Toulouse";"";"2018";"71"
"0331766R";"UNIVERSITE BORDEAUX MONTAIGNE";"4244 * ";"";"26-I-1";"MCF";"Non";71;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"COMMUNICATION PUBLIQUE ET POLITIQUE ";"UNIVERSITE BORDEAUX MONTAIGNE";"";"2018";"71"
"0341089Z";"UNIVERSITE MONTPELLIER 3 (PAUL VALERY)";"4226 * ";"500";"26-I-1";"MCF";"Non";71;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Communication, publics, medias et numerique";"Montpellier";"S";"2018";"71"
"0350937D";"UNIVERSITE RENNES 2";"4314 * ";"0296";"26-I-1";"MCF";"Non";71;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Sciences de l'information et de la communication, Information scientifique et technique, Culture de l'information (outils, médiations, usages)";"RENNES";"S";"2018";"71"
"0370770L";"UNIVERSITE DE TOURS (IUT TOURS)";"4394";"1262";"26-I-1";"MCF";"Non";71;NA;NA;"01/09/2018";"09/02/2018";"12/03/2018";"Journalisme";"IUT de Tours";"";"2018";"71"
"0383493R";"UNIVERSITE GRENOBLE ALPES";"297 * ";"";"26-I-1";"MCF";"Non";71;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Enseignements en science de l information, recherche d information, information documentaire, bibliothéconomie dans un département d IC en IUT.";"Grenoble";"S";"2018";"71"
"0383493R";"UNIVERSITE GRENOBLE ALPES";"299 * ";"";"26-I-1";"MCF";"Non";71;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Communication numéique et conception multimédia";"Grenoble";"S";"2018";"71"
"0542493S";"UNIVERSITE DE LORRAINE";"1035 * ";"71MCF0489";"26-I-1";"MCF";"Non";71;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Pratique et théorie du cinéma, de l¿audiovisuel et du transmédia";"NANCY";"";"2018";"71"
"0597065J";"UNIVERSITE DE LILLE";"33 * ";"";"26-I-1";"MCF";"Non";71;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Sciences de l'information et du document";"VILLENEUVE D'ASCQ";"";"2018";"71"
"0597065J";"UNIVERSITE DE LILLE";"34 * ";"";"26-I-1";"MCF";"Non";71;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Anthropologie de la communication : médias, culture, espaces publics";"VILLENEUVE D'ASCQ";"";"2018";"71"
"0597065J";"UNIVERSITE DE LILLE";"35 * ";"";"26-I-1";"MCF";"Non";71;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Sciences de l'information et du document.";"VILLENEUVE D'ASCQ";"";"2018";"71"
"0597065J";"UNIVERSITE DE LILLE";"58 * ";"";"26-I-1";"MCF";"Non";71;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Information et communication.";"TOURCOING";"";"2018";"71"
"0632035V";"UNIVERSITE CLERMONT AUVERGNE";"79 * ";"1057";"26-I-1";"MCF";"Non";71;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Information communication";"Vichy";"";"2018";"71"
"0632035V";"UNIVERSITE CLERMONT AUVERGNE";"82 * ";"0318";"26-I-1";"MCF";"Non";71;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Communication interne et pratiques numériques. Enseignements spécifiques en communication interne des organisations, en intégrant un volet sur les pratiques numériques, en licence et en master.";"Clermont-Ferrand";"S";"2018";"71"
"0650583F";"UNIV. TOULOUSE 3 (IUT TARBES)";"4506 * ";"71MCF1925";"26-I-1";"MCF";"Non";71;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"pratiques d'utilisation et design participatif de dispositifs de e-santé";"IUT TARBES";"";"2018";"71"
"0691774D";"UNIVERSITE LYON 1 (CLAUDE BERNARD)";"4476";"1645";"26-I-1";"MCF";"Non";71;NA;NA;"01/09/2018";"12/02/2018";"14/03/2018";"Information Scientifique et Technique";"Faculte des Sciences et Technologies";"S";"2018";"71"
"0691775E";"UNIVERSITE LYON 2 (LUMIERE)";"4339 * ";"";"26-I-1";"MCF";"Non";71;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Identités et médiations numériques";"Bron";"S";"2018";"71"
"0692459Y";"E.N.S.S.I.B DE LYON";"4008 * ";"";"26-I-1";"MCF";"Non";71;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Sociologie des organisations et management des bibliothèques, des services de documentation et d information scientifique et technique (secteur privé, secteur public). ";"VILLEURBANNE";"";"2018";"71"
"0751718K";"UNIVERSITE PARIS 2 (PANTHEON-ASSAS)";"4201 * ";"MCF0090";"26-I-1";"MCF";"Non";71;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Technologies de l'information et Economie des réseaux de communication";"PARIS";"";"2018";"71"
"0751718K";"UNIVERSITE PARIS 2 (PANTHEON-ASSAS)";"4202 * ";"MCF0424";"26-I-1";"MCF";"Non";71;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Sémiotique des discours médiatiques";"PARIS";"";"2018";"71"
"0751719L";"UNIVERSITE PARIS 3 (SORBONNE NOUVELLE)";"4246 * ";"";"26-I-1";"MCF";"Non";71;18;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Marchés, métiers et technologies du cinéma et de l'audiovisuel ";"centre censier";"S";"2018";"71"
"0753471R";"CONSERVATOIRE NAT. DES ARTS ET METIERS";"4194 * ";"";"26-I-1";"MCF";"Non";71;4;5;"01/09/2018";"22/02/2018";"29/03/2018";"MÉDIATION ET ANALYSE DES DONNES";"292 rue Saint-Martin";"";"2018";"71"
"0755890V";"UNIVERSITE SORBONNE UNIVERSITE";"6";"";"26-I-1";"MCF";"Non";71;NA;NA;"01/09/2018";"25/01/2018";"26/02/2018";"Sciences de l'information et de la communication, médias et numérique";"CELSA 77, rue de Villiers, Neuilly";"";"2018";"71"
"0755890V";"UNIVERSITE SORBONNE UNIVERSITE";"9";"";"26-I-1";"MCF";"Non";71;NA;NA;"01/09/2018";"25/01/2018";"26/02/2018";"Sciences de l'information et de la communication et politique";"CELSA 77, rue de Villiers, Neuilly";"";"2018";"71"
"0762762P";"UNIVERSITE DU HAVRE";"4117 * ";"";"26-I-1";"MCF";"Non";71;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Enseignements théoriques et pratiques (Théories des SIC, Ecriture et livre numérique ; Patrimoine et médiation culturelle). Recherche sur les traces numériques, la médiation (culturelle) numérique. ";"UNIVERSITE LE HAVRE NORMANDIE";"S";"2018";"71"
"0830766G";"UNIVERSITE DE TOULON (VAR)";"4158 * ";"4158";"26-I-1";"MCF";"Non";71;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Le.a candidat.e aura la charge des cours et TD créatifs autour des techniques audiovisuelles (vidéo et son) et/ou infographiques (images fixes et animées, images 3D, environnements immersifs).";"Toulon centre ville";"";"2018";"71"
"0911101C";"UNIVERSITE PARIS 11";"4493 * ";"";"26-I-1";"MCF";"Non";71;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Communication, technologies et applications numériques, discours médiatiques et institutionnels";"Cachan";"";"2018";"71"
"0921204J";"UNIVERSITE PARIS 10 (NANTERRE)";"4467 * ";"1283";"26-I-1";"MCF";"Non";71;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Sciences de l¿information et de la communication, visualisation des données, humanités numériques";"NANTERRE";"";"2018";"71"
"0931827F";"UNIVERSITE PARIS 8";"4423 * ";"";"26-I-1";"MCF";"Non";71;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Analyse critique des discours et contenus médiatiques à l'échelle internationale";"2 rue de la Liberte-SAINT DENIS";"";"2018";"71"
"0931827F";"UNIVERSITE PARIS 8";"4433 * ";"";"26-I-1";"MCF";"Non";71;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Technologies et Humanités numériques";"2 RUE DE LA LIBERTE - SAINT DENIS";"";"2018";"71"
"0911101C";"UNIVERSITE PARIS 11";"4509 * ";"";"26-I-1";"MCF";"Non";72;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Épistémologie et éthique de la recherche scientifique contemporaine";"LE KREMLIN BICETRE";"";"2018";"72"
"0350937D";"UNIVERSITE RENNES 2";"4309 * ";"0070";"26-I-1";"MCF";"Non";73;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Breton";"RENNES ";"S";"2018";"73"
"0060931E";"UNIVERSITE DE NICE (SOPHIA ANTIPOLIS)";"4547";"74 MCF ID 505";"26-I-1";"MCF";"Non";74;NA;NA;"01/09/2018";"01/02/2018";"08/03/2018";"Sciences du Mouvement Humain, Neurophysiologie, Neurosciences cognitives";"UFR STAPS";"";"2018";"74"
"0134009M";"UNIVERSITE AIX-MARSEILLE";"644 * ";"57163";"26-I-1";"MCF";"Non";74;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Formation des enseignants en EPS";"AIX MARSEILLE";"";"2018";"74"
"0134009M";"UNIVERSITE AIX-MARSEILLE";"659 * ";"55284";"26-I-1";"MCF";"Non";74;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Biomécanique et/ou physiologie de l'exercice";"Marseille";"";"2018";"74"
"0290346U";"UNIV. DE BRETAGNE OCCIDENTALE (BREST)";"4351 * ";"7400MCF1220";"26-I-1";"MCF";"Non";74;66;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Physiologie, activité physique adaptée et santé";"Brest";"";"2018";"74"
"0301687W";"UNIVERSITE DE NIMES";"4161 * ";"0103";"26-I-1";"MCF";"Non";74;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Management du Sport, Tourisme, Economie, Sciences politiques, gestion RH";"NIMES";"";"2018";"74"
"0333298F";"UNIVERSITE DE BORDEAUX";"342";"726";"26-I-1";"MCF";"Non";74;NA;NA;"01/09/2018";"06/02/2018";"08/03/2018";"Activité Physique Adaptée Santé";"PESSAC";"S";"2018";"74"
"0342321N";"UNIVERSITE DE MONTPELLIER";"262 * ";"0037";"26-I-1";"MCF";"Non";74;70;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Analyse de l¿activité, didactique de l¿EPS";"Montpellier";"";"2018";"74"
"0383493R";"UNIVERSITE GRENOBLE ALPES";"253 * ";"";"26-I-1";"MCF";"Non";74;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Physiologie du sport et de l exercice, entraînement et optimisation de la performance sportive";"Universite Grenoble Alpes";"S";"2018";"74"
"0511296G";"UNIVERSITE DE REIMS";"4332 * ";"74MCF";"26-I-1";"MCF";"Non";74;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Approche systémique de l'ergonomie du sport et de la performance motrice";"REIMS";"";"2018";"74"
"0542493S";"UNIVERSITE DE LORRAINE";"1088 * ";"74MCF0682";"26-I-1";"MCF";"Non";74;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Sociologie du handicap et de l¿Activité Physique Adaptée et Santé";"NANCY";"";"2018";"74"
"0542493S";"UNIVERSITE DE LORRAINE";"1091 * ";"74MCF1332";"26-I-1";"MCF";"Non";74;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Sciences humaines et sociales et intervention éducative - Enseignement de l¿EPS ";"NANCY";"";"2018";"74"
"0595964M";"UNIVERSITE DU LITTORAL";"4221 * ";"0055";"26-I-1";"MCF";"Non";74;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Physiologie de l¿exercice et plasticité cérébrale";"Calais, Boulogne/mer, Dunkerque, Saint-O";"";"2018";"74"
"0595964M";"UNIVERSITE DU LITTORAL";"4222 * ";"0362";"26-I-1";"MCF";"Non";74;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Sociologie du Sport et Santé. ";"Calais, Boulogne/mer, Dunkerque, Saint-O";"";"2018";"74"
"0595964M";"UNIVERSITE DU LITTORAL";"4224 * ";"";"26-I-1";"MCF";"Non";74;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Sociologie du Sport. Loisirs. Pouvoirs et Institutions Sportives.";"Calais, Boulogne/mer, Dunkerque, Saint-O";"";"2018";"74"
"0597065J";"UNIVERSITE DE LILLE";"42 * ";"";"26-I-1";"MCF";"Non";74;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Sciences sociales et/ou sciences de gestion et pratiques Sportives";"RONCHIN";"";"2018";"74"
"0623957P";"UNIVERSITE D'ARTOIS";"4283 * ";"";"26-I-1";"MCF";"Non";74;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Science and technology of sports and physical activities, human and social sciences, school, sport, Physical Education";"LIEVIN";"";"2018";"74"
"0632035V";"UNIVERSITE CLERMONT AUVERGNE";"91 * ";"0405";"26-I-1";"MCF";"Non";74;16;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Ergonomie, Analyse de l¿Expérience, Facteurs Humains et Organisationnels, Intervention";"Campus des Cezeaux Aubiere";"";"2018";"74"
"0673021V";"UNIVERSITE DE STRASBOURG";"4501 * ";"";"26-I-1";"MCF";"Non";74;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Management du sport";"Strasbourg";"";"2018";"74"
"0673021V";"UNIVERSITE DE STRASBOURG";"4502 * ";"";"26-I-1";"MCF";"Non";74;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Entraînement et activités physiques";"Strasbourg";"";"2018";"74"
"0673021V";"UNIVERSITE DE STRASBOURG";"4503 * ";"";"26-I-1";"MCF";"Non";74;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Sciences humaines et sociales : expertise professionnelle, éducation physique et sport";"Strasbourg";"";"2018";"74"
"0673021V";"UNIVERSITE DE STRASBOURG";"4504 * ";"";"26-I-1";"MCF";"Non";74;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Phénotype musculaire et activités physiques";"Strasbourg";"";"2018";"74"
"0673021V";"UNIVERSITE DE STRASBOURG";"4505 * ";"";"26-I-1";"MCF";"Non";74;22;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Socio-histoire du sport en Europe";"Strasbourg";"";"2018";"74"
"0761904G";"UNIVERSITE DE ROUEN";"4408 * ";"";"26-I-1";"MCF";"Non";74;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"STAPS - Management du sport";"Mont-Saint-Aignan";"";"2018";"74"
"0761904G";"UNIVERSITE DE ROUEN";"4409 * ";"";"26-I-1";"MCF";"Non";74;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"STAPS - Histoire de l'EPS et des APSA";"Mont-Saint-Aignan";"";"2018";"74"
"0772502B";"UNIVERSITE PARIS EST MARNE LA VALLEE";"4189 * ";"";"26-I-1";"MCF";"Non";74;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Politiques sportives, de loisirs, de tourisme sportif et de santé par le sport";"CHAMPS SUR MARNE";"";"2018";"74"
"0830766G";"UNIVERSITE DE TOULON (VAR)";"4160 * ";"4160";"26-I-1";"MCF";"Non";74;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Le.a candidat.e assurera des enseignements en neurophysiologie, méthodologie de la recherche, activités physiques adaptées et santé, en licence STAPS.";"La Garde 83";"";"2018";"74"
"0830766G";"UNIVERSITE DE TOULON (VAR)";"4164 * ";"4164";"26-I-1";"MCF";"Non";74;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Enseignements en psychologie du développement, aspects psychophysiologiques et/ou neurosciences appliquées à l'activité physique : dans un objectif de performance et/ou de santé au niveau Licence.";"La Garde 83";"";"2018";"74"
"0840685N";"UNIVERSITE D'AVIGNON";"4110 * ";"";"26-I-1";"MCF";"Non";74;66;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Santé cardiovasculaire, exercice, nutrition";"Campus Jean-henri FABRE - Agroparc";"";"2018";"74"
"0840685N";"UNIVERSITE D'AVIGNON";"4112 * ";"";"26-I-1";"MCF";"Non";74;66;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Santé cardiovasculaire, exercice, nutrition";"Campus Hannah Arendt - Centre-ville";"";"2018";"74"
"0870669E";"UNIVERSITE DE LIMOGES";"4292 * ";"";"26-I-1";"MCF";"Non";74;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Sciences et Techniques des Activités Physiques et Sportives";"Limoges";"";"2018";"74"
"0911101C";"UNIVERSITE PARIS 11";"4532 * ";"";"26-I-1";"MCF";"Non";74;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Neurosciences cognitives et motrices";"Orsay";"";"2018";"74"
"0911975C";"UNIVERSITE D'EVRY VAL D'ESSONNE";"4153 * ";"";"26-I-1";"MCF";"Non";74;66;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Physiologie et biologie cellulaire et moléculaire appliquées à l'exercice physique.";"EVRY";"";"2018";"74"
"0921204J";"UNIVERSITE PARIS 10 (NANTERRE)";"4479 * ";"1380";"26-I-1";"MCF";"Non";74;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"COGNITION - MOTRICITE - ACTIVITE PHYSIQUE - SANTE";"NANTERRE";"";"2018";"74"
"0931238R";"UNIVERSITE PARIS 13";"4303 * ";"1408";"26-I-1";"MCF";"Non";74;66;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Physiologie de l'exercice";"Bobigny";"";"2018";"74"
"0931238R";"UNIVERSITE PARIS 13";"4304 * ";"1410";"26-I-1";"MCF";"Non";74;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Biomécanique de la performance";"Bobigny";"";"2018";"74"
"9710585J";"UNIVERSITE DES ANTILLES";"4308 * ";"";"26-I-1";"MCF";"Non";74;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Sciences humainesApprentissage-réapprentissage moteurConduites motrices";"Campus de Fouillole";"";"2018";"74"
"0542493S";"UNIVERSITE DE LORRAINE";"1100 * ";"76/15/77MCF0033";"26-I-1";"MCF";"Non";76;15;77;"01/09/2018";"22/02/2018";"29/03/2018";"Histoire et théologie des religions";"METZ";"";"2018";"76"
"0673021V";"UNIVERSITE DE STRASBOURG";"4506 * ";"";"26-I-1";"MCF";"Non";76;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Sciences bibliques : Ancien et Nouveau Testament";"Strasbourg";"S";"2018";"76"
"0673021V";"UNIVERSITE DE STRASBOURG";"4507 * ";"";"26-I-1";"MCF";"Non";76;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Philosophie et anthropologie des religions";"Strasbourg";"";"2018";"76"
"0134009M";"UNIVERSITE AIX-MARSEILLE";"676 * ";"56061";"26-I-1";"MCF";"Non";85;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Nutrition /Chimie analytique - absorption intestinale des lipides et micronutriments lipidiques - nutrigénétique";"Marseille";"";"2018";"85"
"0333298F";"UNIVERSITE DE BORDEAUX";"346";"649";"26-I-1";"MCF";"Non";85;NA;NA;"01/09/2018";"06/02/2018";"08/03/2018";"Technologies pharmaceutiques";"BORDEAUX";"S";"2018";"85"
"0542493S";"UNIVERSITE DE LORRAINE";"1089 * ";"85MCF0421";"26-I-1";"MCF";"Non";85;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Bioanalyse du Médicament";"NANCY";"";"2018";"85"
"0597065J";"UNIVERSITE DE LILLE";"67 * ";"";"26-I-1";"MCF";"Non";85;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Modélisation mathématique pour l'analyse des données médicales";"LILLE";"";"2018";"85"
"0673021V";"UNIVERSITE DE STRASBOURG";"4508 * ";"";"26-I-1";"MCF";"Non";85;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Pharmacie galénique";"Illkirch";"";"2018";"85"
"0691774D";"UNIVERSITE LYON 1 (CLAUDE BERNARD)";"4479";"1910";"26-I-1";"MCF";"Non";85;33;62;"01/09/2018";"12/02/2018";"14/03/2018";"Elaboration et formulation de solides divisés à usage pharmaceutique";"ISPB";"S";"2018";"85"
"0870669E";"UNIVERSITE DE LIMOGES";"4289 * ";"0526";"26-I-1";"MCF";"Non";85;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"Pharmacie galénique et Biopharmacie";"Limoges";"";"2018";"85"
"0290346U";"UNIV. DE BRETAGNE OCCIDENTALE (BREST)";"4338 * ";"8600MCF1215";"26-I-1";"MCF";"Non";86;NA;NA;"01/09/2018";"22/02/2018";"29/03/2018";"santé publique- épidémiologie-environnement-hygiène";"Brest";"";"2018";"86"
